지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2025-11-28,2.3,-1.3,7,,,,,,,2,56.4
108,서울,2025-11-29,5.7,.3,9.3,2.92,,,,,.1,2.3,57.1
108,서울,2025-11-30,12.4,9.1,16.1,,,,,,,1.9,78.8
108,서울,2025-12-01,5.5,2.3,12.2,,,,,,,3.1,50.5
108,서울,2025-12-02,.1,-5.4,3.3,,,,,,,3.3,41.1
108,서울,2025-12-03,-5.9,-8.1,-2.8,,,,,,,3.2,41.4
108,서울,2025-12-04,-3.2,-9.4,3.5,2.5,,,,,4,2.3,49.6
108,서울,2025-12-05,-2.6,-6.9,2.5,,,,,,,1.8,53.6
108,서울,2025-12-06,2.1,-2,4.5,3.17,,,,,.6,2,70.9
108,서울,2025-12-07,8.3,3.4,13.4,,,,,,,2.1,77.4
108,서울,2025-12-08,3.4,.8,7.3,,,,,,,2.3,45.4
108,서울,2025-12-09,2.8,-2.4,8.7,,,,,,,1.7,59
108,서울,2025-12-10,4.9,.7,8.6,,,,,,,1.9,73.1
108,서울,2025-12-11,4,-1.8,8.4,5.17,,,,,12.9,2.7,68.3
108,서울,2025-12-12,2,-3.6,7,,,,,,,1.9,56.3
108,서울,2025-12-13,2.6,-.8,4.5,13.67,,,,,9.5,2.4,81.5
108,서울,2025-12-14,-.1,-1.5,3.1,3.5,,,,,.1,2,76.5
108,서울,2025-12-15,.7,-3.5,4.5,,,,,,,1.8,76.4
108,서울,2025-12-16,3.8,2.1,5,8.33,,,,,2.1,2.2,88.5
108,서울,2025-12-17,4.2,1.2,7.6,,,,,,,2.1,72.8
108,서울,2025-12-18,2.3,-1.9,8.5,,,,,,,1.7,60.6
108,서울,2025-12-19,4.9,-.7,9.9,,,,,,,2.1,66.5
108,서울,2025-12-20,7.3,1,10.7,8.82,,,,,.3,2.2,74.1
108,서울,2025-12-21,-1.1,-3.4,2.5,,,,,,,2.9,42
108,서울,2025-12-22,-.7,-5.9,5.1,,,,,,,1.8,44.8
108,서울,2025-12-23,2.6,.1,4.3,10.75,,,,,10.8,2.4,70.9
108,서울,2025-12-24,2.8,-1,6.3,,,,,,,2.4,79
108,서울,2025-12-25,-3.6,-8.9,0,,,,,,,3.9,54.1
108,서울,2025-12-26,-8.2,-11.8,-4,,,,,,,2.8,38.9
108,서울,2025-12-27,-2.6,-8.3,.5,.33,,,,,0,2.1,52.1
108,서울,2025-12-28,3.2,0,6.1,4.42,,,,,.6,2,76.4
108,서울,2025-12-29,4.9,-.1,9.1,2,,,,,.3,2.1,74.1
108,서울,2025-12-30,-.5,-3.7,3.8,,,,,,,2.4,45.1
108,서울,2025-12-31,-5.6,-8.9,-1.2,,,,,,,3.1,40.9
